,dblabel,coordinates,lat,lon,image_id,views
0,0,"(((-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98777700000001, 40.750277000000004), (-73.98785500000001, 40.750254999999996), (-73.98777700000001, 40.750277000000004)),)",40.750277000000004,-73.98777700000001,9,189
1,1,"(((-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.989551, 40.74175), (-73.98867, 40.741902), (-73.989303, 40.74208), (-73.989464, 40.741794), (-73.988692, 40.742467), (-73.989917, 40.741336), (-73.989293, 40.742217), (-73.989551, 40.74175)),)",40.741794,-73.989464,14,5202
2,8,"(((-73.946384, 40.848413), (-73.946473, 40.848372), (-73.946473, 40.848372), (-73.946331, 40.848277), (-73.946473, 40.848372), (-73.946473, 40.848372), (-73.946331, 40.848347), (-73.946045, 40.84863), (-73.946164, 40.84855), (-73.946398, 40.848463), (-73.946384, 40.848413)),)",40.848413,-73.946384,10,58
3,9,"(((-74.003058, 40.757253000000006), (-74.002123, 40.757633), (-74.002123, 40.757633), (-74.002123, 40.757633), (-74.002123, 40.757633), (-74.002123, 40.757633), (-74.002123, 40.757633), (-74.00222099999999, 40.757408), (-74.00239300000001, 40.758074), (-74.00239300000001, 40.758074), (-74.00249000000001, 40.757643), (-74.002543, 40.758432), (-74.002178, 40.758009), (-74.003058, 40.757253000000006)),)",40.757643,-74.00249000000001,13,2879
4,10,"(((2.957333, 50.402861), (2.957333, 50.402861), (2.957344, 50.402877000000004), (2.957344, 50.402877000000004), (2.9572439999999998, 50.402936), (2.9571520000000002, 50.402991), (2.9571520000000002, 50.402991), (2.9571520000000002, 50.402991), (2.9571520000000002, 50.402991), (2.9571520000000002, 50.402991), (2.9571520000000002, 50.402991), (2.95715, 50.402997), (2.95715, 50.402997), (2.95715, 50.402997), (2.956752, 50.403255), (2.956752, 50.403255), (2.956752, 50.403255), (2.956861, 50.403475), (2.956861, 50.403475), (2.956861, 50.403475), (2.956861, 50.403475), (2.956861, 50.403475), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956961, 50.403527000000004), (2.956941, 50.403572), (2.956941, 50.403572), (2.956941, 50.403572), (2.9569520000000002, 50.403555), (2.95693, 50.403535999999995), (2.95693, 50.403535999999995), (2.95693, 50.403535999999995), (2.95693, 50.403535999999995), (2.957333, 50.402861)),)",50.403255,2.956752,39,1678
5,13,"(((-73.988888, 40.750555), (-73.988888, 40.750555), (-73.988888, 40.750555), (-73.988888, 40.750555), (-73.988888, 40.750555), (-73.989722, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.98944399999999, 40.750555), (-73.989313, 40.750436), (-73.989313, 40.750436), (-73.989313, 40.750436), (-73.98965799999999, 40.750655), (-73.98944399999999, 40.750555), (-73.988888, 40.750555)),)",40.750555,-73.98944399999999,20,1884
6,14,"(((4.484374, 51.904168), (4.484589, 51.904076), (4.484331, 51.904076), (4.484417, 51.904142), (4.4845239999999995, 51.904129), (4.484395, 51.904142), (4.484567, 51.904076), (4.4844599999999994, 51.904102), (4.484503, 51.904009), (4.484374, 51.904168)),)",51.904102,4.4844599999999994,9,613
7,16,"(((-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882305, 40.864036), (-73.882198, 40.864004), (-73.882198, 40.864004), (-73.882198, 40.864004), (-73.882305, 40.864036)),)",40.864036,-73.882305,21,390
8,18,"(((-74.013251, 40.712988), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.713060999999996), (-74.013251, 40.712988)),)",40.713060999999996,-74.013251,41,2853
9,20,"(((-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039179, 38.898915), (-77.039136, 38.899174), (-77.039426, 38.898680999999996), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039136, 38.899174), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039254, 38.899190000000004), (-77.039136, 38.899174)),)",38.899190000000004,-77.039254,50,2232
10,22,"(((-76.86425, 38.907315999999994), (-76.864684, 38.908033), (-76.864684, 38.908033), (-76.8647, 38.907983), (-76.86461700000001, 38.907883), (-76.86461700000001, 38.907883), (-76.8646, 38.907866), (-76.8646, 38.908015999999996), (-76.8646, 38.908015999999996), (-76.8646, 38.907983), (-76.8646, 38.907983), (-76.8646, 38.907983), (-76.864867, 38.9082), (-76.86475, 38.908133), (-76.86475, 38.908133), (-76.864784, 38.9082), (-76.86465, 38.908066), (-76.863917, 38.907716), (-76.865084, 38.908015999999996), (-76.865084, 38.908015999999996), (-76.865, 38.908066), (-76.865, 38.908066), (-76.865, 38.908066), (-76.865, 38.908066), (-76.86495, 38.908033), (-76.86495, 38.908033), (-76.86495, 38.908033), (-76.86495, 38.908033), (-76.86495, 38.908033), (-76.86495, 38.908033), (-76.86485, 38.908049), (-76.86485, 38.908049), (-76.86538399999999, 38.907783), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86506700000001, 38.907633000000004), (-76.86501700000001, 38.907616), (-76.86495, 38.907816), (-76.8648, 38.907816), (-76.8648, 38.907816), (-76.865, 38.9077), (-76.86506700000001, 38.9077), (-76.86501700000001, 38.907599), (-76.865167, 38.9079), (-76.86425, 38.907315999999994), (-76.86425, 38.907315999999994), (-76.86413399999999, 38.907199), (-76.863967, 38.907333), (-76.864184, 38.907266), (-76.86425, 38.907233000000005), (-76.863984, 38.907333), (-76.864184, 38.907266), (-76.8652, 38.907765999999995), (-76.8652, 38.907765999999995), (-76.8647, 38.908083000000005), (-76.864384, 38.907315999999994), (-76.864334, 38.9071), (-76.86448399999999, 38.907365999999996), (-76.8637, 38.907965999999995), (-76.864734, 38.908249), (-76.863917, 38.907716), (-76.86493399999999, 38.9081), (-76.86413399999999, 38.907199), (-76.864184, 38.907266), (-76.864184, 38.907266), (-76.863967, 38.9073), (-76.863984, 38.907333), (-76.8642, 38.907216), (-76.8642, 38.907216), (-76.864734, 38.908049), (-76.86385, 38.9075), (-76.86461700000001, 38.908015999999996), (-76.8647, 38.908133), (-76.86425, 38.907315999999994)),)",38.907866,-76.8646,78,1637
